,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
2630,Cytisus multiflorus,8.5,8.0,3.5,2.5,2.5,0.0
2631,Cytisus podolicus,7.5,4.8,4.8,NA,NA,NA
2632,Cytisus procumbens,8.0,8.0,3.0,8.0,3.0,0.0
2633,Cytisus pseudoprocumbens,7.0,7.0,4.0,6.0,3.0,0.0
2634,Cytisus purpureus,7.0,7.5,5.0,7.0,3.0,0.0
2635,Cytisus ratisbonensis,6.6,6.7,3.7,6.7,2.2,0.0
2636,Cytisus ruthenicus,7.5,4.8,5.5,NA,NA,NA
2637,Cytisus sauzeanus,NA,5.0,NA,NA,NA,NA
2638,Cytisus scoparius,7.8,5.9,4.5,3.3,3.1,0.0
2639,Cytisus spinescens,7.0,7.0,5.0,7.0,3.0,0.0
2640,Cytisus spinosus,7.6,8.6,3.1,6.2,3.4,0.1
2641,Cytisus striatus,8.5,7.5,4.0,3.0,2.5,0.0
2642,Cytisus triflorus,7.0,5.0,4.0,6.0,2.0,0.0
2643,Cytisus villosus,6.5,8.3,4.0,4.0,4.0,0.0
2644,Cytisus virescens,7.0,6.0,4.0,7.0,3.0,0.0
2645,Cytisus wulfii,8.0,4.5,4.8,NA,NA,NA
2646,Daboecia cantabrica,8.0,7.0,5.0,2.7,1.7,0.0
2647,Dactylis glomerata,7.0,x,x,x,x,0.3
2648,Dactylorhiza alpestris,8.0,2.7,8.5,4.0,1.5,0.0
2649,Dactylorhiza cordigera,7.5,6.0,7.6,NA,NA,NA
2650,Dactylorhiza elata,8.8,x,7.6,5.9,1.5,0.0
2651,Dactylorhiza iberica,7.5,6.8,7.0,NA,NA,NA
2652,Dactylorhiza incarnata,8.1,x,8.3,6.6,2.0,0.2
2653,Dactylorhiza insularis,7.0,x,4.0,3.5,3.0,0.0
2654,Dactylorhiza lapponica,8.3,3.8,8.0,6.5,2.0,0.0
2655,Dactylorhiza maculata,NA,3.0,NA,NA,NA,NA
2656,Dactylorhiza maculata aggr.,7.1,4.8,x,x,2.5,0.0
2657,Dactylorhiza majalis,7.8,4.3,8.3,x,2.0,0.1
2658,Dactylorhiza praetermissa,8.8,4.7,8.4,7.5,2.3,0.0
2659,Dactylorhiza purpurella,8.0,NA,8.0,7.0,2.0,1.0
2660,Dactylorhiza romana,6.2,x,4.8,5.5,5.0,0.0
2661,Dactylorhiza russowii,NA,NA,8.0,NA,NA,NA
2662,Dactylorhiza saccifera,8.0,8.0,6.5,6.0,2.0,0.0
2663,Dactylorhiza sambucina,7.4,x,x,5.0,2.6,0.0
2664,Dactylorhiza sudetica,8.0,3.0,8.0,4.0,2.0,0.0
2665,Dactylorhiza traunsteineri,7.9,4.1,8.3,5.2,2.5,0.0
2666,Dactylorhiza viridis,7.8,3.8,4.7,4.8,2.3,0.0
2667,Dahlia pinnata,NA,9.0,NA,NA,NA,NA
2668,Damasonium alisma,7.9,x,9.1,5.3,x,0.0
2669,Damasonium polyspermum,8.0,7.0,9.0,5.5,4.0,0.0
2670,Danthonia alpina,8.4,x,x,6.3,2.3,0.0
2671,Danthonia decumbens,7.8,5.1,5.5,3.4,1.9,0.0
2672,Daphne alpina,8.5,5.0,3.5,7.5,2.0,0.0
2673,Daphne blagayana,NA,6.0,NA,NA,NA,NA
2674,Daphne cneorum,6.6,5.5,3.8,7.8,2.0,0.0
2675,Daphne gnidioides,7.0,11.0,2.0,7.0,5.0,1.0
2676,Daphne gnidium,7.3,8.3,2.7,4.0,3.3,0.0
2677,Daphne jasminea,9.0,11.0,1.0,8.0,2.0,0.0
2678,Daphne laureola,x,6.6,4.5,7.9,3.7,0.0
2679,Daphne mezereum,4.1,4.5,5.3,6.9,5.3,0.0
2680,Daphne oleoides,8.3,5.3,2.7,6.7,3.0,0.0
2681,Daphne petraea,7.0,4.0,4.0,7.0,1.0,0.0
2682,Daphne pontica,NA,6.9,NA,NA,NA,NA
2683,Daphne reichsteinii,NA,7.0,NA,NA,NA,NA
2684,Daphne sericea,6.0,9.5,3.5,8.0,2.5,0.0
2685,Daphne sophia,6.8,4.9,4.6,NA,NA,NA
2686,Daphne striata,7.7,2.3,3.7,7.3,2.0,0.0
2687,Darmera peltata,NA,8.0,NA,NA,NA,NA
2688,Dasiphora fruticosa,8.3,4.5,x,x,2.3,0.0
2689,Dasypyrum hordeaceum,8.1,7.8,3.8,7.2,3.5,0.0
2690,Dasypyrum villosum,8.0,9.5,3.3,6.7,x,0.0
2691,Datisca cannabina,5.0,11.0,7.0,8.0,7.0,0.0
2692,Datura stramonium,8.1,x,x,6.6,7.9,0.7
2693,Daucus aureus,7.5,9.5,4.0,6.0,7.0,0.0
2694,Daucus broteri,8.5,11.0,3.0,7.0,7.5,0.5
2695,Daucus carota,8.1,x,4.1,6.6,x,0.7
2696,Daucus glaber,NA,11.0,NA,8.0,NA,3.0
2697,Daucus guttatus,7.5,10.0,3.5,7.5,5.0,0.5
2698,Daucus involucratus,7.0,11.0,2.0,8.0,5.0,1.0
2699,Daucus muricatus,9.0,10.0,3.0,5.0,2.0,0.0
2700,Delphinium apolanum,NA,3.0,NA,NA,NA,NA
2701,Delphinium cuneatum,6.5,4.8,5.0,NA,NA,NA
2702,Delphinium dubium,9.0,3.0,4.0,6.0,6.0,0.0
2703,Delphinium elatum,7.0,2.9,5.9,6.7,6.7,0.0
2704,Delphinium elatum aggr.,NA,3.0,NA,NA,NA,NA
2705,Delphinium emarginatum,9.0,11.0,2.0,8.0,2.0,0.0
2706,Delphinium fissum,7.8,6.0,4.0,8.0,3.0,0.0
2707,Delphinium halteratum,8.0,9.0,3.0,4.0,2.0,0.0
2708,Delphinium hellenicum,8.0,11.0,4.0,8.0,5.0,0.0
2709,Delphinium peregrinum,8.0,9.0,3.0,8.0,4.0,0.5
2710,Delphinium puniceum,NA,5.3,5.0,NA,NA,NA
2711,Delphinium sergii,7.0,5.3,5.0,NA,NA,NA
2712,Delphinium verdunense,8.0,8.0,4.0,7.0,7.0,0.0
2713,Deschampsia cespitosa aggr.,6.8,x,x,x,x,0.1
2714,Deschampsia media,8.3,6.6,8.2,x,3.5,0.0
2715,Descurainia sophia,7.8,x,4.1,6.8,6.3,0.1
2716,Descurainia tanacetifolia,7.5,3.0,x,3.5,2.5,0.0
2717,Desmazeria sicula,9.0,10.0,1.0,6.0,1.0,3.0
2718,Dethawia splendens,8.5,4.0,3.5,7.5,1.5,0.0
2719,Dianthus alpinus,9.0,1.5,3.0,8.0,3.0,0.0
2720,Dianthus arenarius,8.5,5.6,3.1,4.5,1.5,0.0
2721,Dianthus armeria,7.0,x,4.2,x,2.7,0.0
2722,Dianthus arrostii,9.0,10.0,2.0,7.0,2.0,0.0
2723,Dianthus barbatus,7.6,4.6,5.1,5.0,x,0.0
2724,Dianthus benearnensis,8.0,6.0,5.0,3.0,3.0,0.0
2725,Dianthus bessarabicus,8.5,5.8,6.0,NA,NA,NA
2726,Dianthus biflorus,7.9,7.4,3.3,7.5,3.3,0.0
2727,Dianthus borbasii,8.0,4.8,4.3,NA,NA,NA
2728,Dianthus campestris,8.0,4.8,4.8,NA,NA,NA
2729,Dianthus capitatus,7.8,5.5,4.3,NA,NA,NA
2730,Dianthus carbonatus,8.0,5.5,4.5,NA,NA,NA
2731,Dianthus carthusianorum aggr.,7.4,x,3.7,x,2.6,0.0
2732,Dianthus caryophyllus,NA,8.0,NA,NA,NA,NA
2733,Dianthus ciliatus,7.0,8.0,4.0,6.0,3.0,0.0
2734,Dianthus cinnamomeus,8.0,11.0,2.0,8.0,3.0,0.0
2735,Dianthus collinus,7.5,6.1,4.5,8.0,3.0,0.0
2736,Dianthus corymbosus,8.3,8.7,3.0,6.0,2.7,0.4
2737,Dianthus crinitus,7.0,11.0,4.0,7.0,2.0,0.0
2738,Dianthus cruentus,7.8,5.7,4.2,6.6,2.3,0.0
2739,Dianthus deltoides,7.9,5.0,3.4,4.0,2.3,0.0
2740,Dianthus diutinus,8.0,8.0,2.0,8.0,1.0,0.0
2741,Dianthus elegans,8.0,11.0,3.0,8.0,3.0,0.0
2742,Dianthus elongatus,8.0,5.3,4.5,NA,NA,NA
2743,Dianthus eugeniae,8.0,4.8,6.3,NA,NA,NA
2744,Dianthus ferrugineus,7.5,6.5,4.0,6.8,3.5,0.0
2745,Dianthus fischeri,7.5,4.3,4.5,NA,NA,NA
2746,Dianthus fruticosus,8.0,11.0,4.0,8.0,4.0,1.0
2747,Dianthus furcatus,8.0,x,4.5,x,2.5,0.0
2748,Dianthus giganteus,NA,8.0,NA,NA,NA,NA
2749,Dianthus glacialis,8.5,1.3,3.5,3.5,3.0,0.0
2750,Dianthus gracilis,8.3,7.6,3.2,6.1,2.7,0.1
2751,Dianthus gratianopolitanus,8.7,6.4,2.5,6.8,1.3,0.0
2752,Dianthus guliae,7.0,6.0,3.0,3.0,3.0,0.0
2753,Dianthus guttatus,8.5,5.5,6.3,NA,NA,NA
2754,Dianthus haematocalyx,8.5,7.3,2.8,7.5,2.3,0.0
2755,Dianthus humilis,8.5,5.8,3.8,NA,NA,NA
2756,Dianthus hypanicus,8.0,5.3,4.8,NA,NA,NA
2757,Dianthus hyssopifolius,9.0,5.0,1.0,6.0,1.0,NA
2758,Dianthus integer,8.9,4.5,3.4,6.7,1.7,0.0
2759,Dianthus juniperinus,7.5,9.5,3.0,7.9,2.0,0.0
2760,Dianthus lanceolatus,8.0,5.3,4.5,NA,NA,NA
2761,Dianthus langeanus,9.0,3.0,2.0,2.0,1.0,NA
2762,Dianthus lusitanus,8.4,3.7,2.7,2.8,1.1,NA
2763,Dianthus marschallii,8.0,5.5,4.3,NA,NA,NA
2764,Dianthus membranaceus,8.0,5.3,5.0,NA,NA,NA
2765,Dianthus microlepis,8.1,2.4,5.0,3.8,2.0,0.0
2766,Dianthus monadelphus,8.3,NA,3.3,6.8,NA,0.0
2767,Dianthus monspessulanus,6.0,7.0,4.0,2.0,5.0,0.0
2768,Dianthus moravicus,9.0,7.0,2.0,8.0,2.0,0.0
2769,Dianthus nardiformis,8.5,6.1,3.7,8.4,1.3,0.0
2770,Dianthus nitidus,NA,NA,5.0,NA,NA,NA
2771,Dianthus pallidiflorus,8.0,5.5,3.5,NA,NA,NA
2772,Dianthus pavonius,7.5,2.3,5.0,2.5,2.0,0.0
2773,Dianthus pineticola,7.5,4.5,4.5,NA,NA,NA
2774,Dianthus pinifolius,8.4,7.3,3.1,6.0,3.6,0.0
2775,Dianthus platyodon,8.0,5.5,4.8,NA,NA,NA
2776,Dianthus plumarius,NA,5.0,NA,NA,NA,NA
2777,Dianthus praecox,9.0,7.0,2.0,9.0,2.0,0.0
2778,Dianthus pseudarmeria,8.5,5.5,4.5,NA,NA,NA
2779,Dianthus pseudoversicolor,8.0,4.8,4.5,NA,NA,NA
2780,Dianthus pungens,9.0,4.0,1.0,7.0,1.0,0.0
2781,Dianthus pyrenaicus,8.3,7.4,2.7,7.4,2.3,0.3
2782,Dianthus rigidus,8.5,4.8,3.3,NA,NA,NA
2783,Dianthus rupicola,9.0,10.0,2.0,7.0,1.0,0.0
2784,Dianthus scaber,NA,5.0,NA,NA,NA,NA
2785,Dianthus seguieri,7.4,x,4.0,3.0,2.0,0.0
2786,Dianthus serotinus,8.5,6.4,3.5,8.0,1.0,0.0
2787,Dianthus sphacioticus,8.0,6.0,4.0,8.0,4.0,0.0
2788,Dianthus spiculifolius,8.0,4.3,5.3,NA,NA,NA
2789,Dianthus squarrosus,8.0,5.0,5.3,NA,NA,NA
2790,Dianthus sternbergii,8.0,2.0,3.0,7.0,2.0,0.0
2791,Dianthus strictus,8.0,11.0,4.0,8.0,6.0,0.0
2792,Dianthus subacaulis,8.0,3.5,3.0,6.0,3.0,0.0
2793,Dianthus superbus,7.5,4.3,6.8,7.2,x,0.0
2794,Dianthus sylvestris,7.0,x,3.9,x,2.9,0.0
2795,Dianthus trifasciculatus,8.0,5.0,4.8,NA,NA,NA
2796,Dianthus tripunctatus,7.5,9.0,4.0,6.5,x,0.0
2797,Dianthus xylorrhizus,7.0,11.0,4.0,8.0,4.0,0.0
2798,Diapensia lapponica,9.0,NA,3.0,4.0,1.0,0.0
2799,Dichoropetalum carvifolia,7.2,x,5.7,6.3,4.5,0.0
2800,Dichoropetalum chryseum,6.0,11.0,5.0,6.0,7.0,0.0
2801,Dichoropetalum oligophyllum,7.9,4.8,4.4,5.0,3.2,0.0
2802,Dichoropetalum schottii,5.0,7.0,4.0,7.0,4.0,0.0
2803,Dichrocephala integrifolia,8.0,7.0,6.0,5.0,7.0,0.0
2804,Dictamnus albus,6.5,7.2,3.2,7.8,2.2,0.0
2805,Dictamnus gymnostylis,7.0,5.8,5.3,NA,NA,NA
2806,Didesmus aegyptius,8.0,12.0,2.0,8.0,5.0,2.0
2807,Digitalis ferruginea,6.0,7.0,4.0,7.0,5.0,0.0
2808,Digitalis grandiflora,6.3,4.3,5.2,5.6,5.2,0.0
2809,Digitalis laevigata,5.0,6.0,5.0,7.0,5.0,0.0
2810,Digitalis lanata,8.0,8.5,3.0,8.0,2.0,0.0
2811,Digitalis lutea,6.2,5.9,5.0,6.8,5.0,0.0
2812,Digitalis parviflora,9.0,5.0,2.0,6.0,1.0,NA
2813,Digitalis purpurea,6.8,x,5.2,3.0,x,0.0
2814,Digitalis thapsi,8.6,6.7,2.8,3.8,1.6,0.0
2815,Digitaria debilis,7.0,7.0,3.0,4.0,3.0,0.0
2816,Digitaria ischaemum,7.4,6.2,4.7,3.2,4.0,0.2
2817,Digitaria sanguinalis,7.6,x,3.7,5.6,x,0.3
2818,Dioscorea balcanica,5.9,6.8,4.6,6.6,4.5,0.0
2819,Dioscorea communis,5.9,x,4.8,7.6,5.2,0.2
2820,Diospyros lotus,8.5,8.0,4.5,5.0,4.5,0.0
2821,Dipcadi serotinum,8.5,8.0,3.5,7.5,2.0,0.0
2822,Diplotaxis catholica,8.0,8.3,3.5,5.4,4.5,0.1
2823,Diplotaxis cretacea,8.5,5.0,3.8,NA,NA,NA
2824,Diplotaxis erucoides,8.0,8.3,3.5,7.5,6.0,0.0
2825,Diplotaxis harra,9.0,11.0,2.0,9.0,1.0,0.0
2826,Diplotaxis muralis,8.0,7.5,3.9,7.3,5.5,0.3
2827,Diplotaxis tenuifolia,7.9,6.8,3.6,6.4,5.6,0.3
2828,Diplotaxis viminea,7.8,x,3.3,7.3,6.0,0.3
2829,Diplotaxis virgata,8.1,8.3,3.0,6.7,5.1,0.1
2830,Dipsacus ferox,7.0,x,6.5,6.0,4.0,0.0
2831,Dipsacus fullonum,7.9,6.2,x,6.7,6.4,0.2
2832,Dipsacus laciniatus,7.6,6.9,6.3,7.0,5.4,0.2
2833,Dipsacus pilosus,6.9,6.4,6.2,7.0,6.3,0.0
2834,Dipsacus sativus,7.5,5.5,4.0,6.5,6.5,0.0
2835,Dipsacus strigosus,7.5,6.7,5.5,7.5,6.0,0.0
2836,Disphyma crassifolium,9.0,NA,3.0,4.0,5.0,3.0
2837,Distichoselinum tenuifolium,9.0,8.0,4.0,7.0,7.0,0.0
2838,Dittrichia graveolens,8.5,8.4,3.8,7.8,6.5,1.0
2839,Dittrichia viscosa,8.3,9.0,6.0,7.3,7.3,0.7
2840,Doronicum austriacum,5.2,3.3,6.3,6.0,7.4,0.0
2841,Doronicum carpaticum,8.0,3.5,7.0,NA,NA,NA
2842,Doronicum carpetanum,x,3.5,5.0,x,x,0.0
2843,Doronicum cataractarum,NA,3.0,NA,NA,NA,NA
2844,Doronicum clusii,7.8,1.7,5.3,3.0,2.8,0.0
2845,Doronicum columnae,7.0,3.0,6.0,7.0,6.5,0.0
2846,Doronicum corsicum,6.0,2.0,7.0,6.0,6.0,0.0
2847,Doronicum glaciale,8.0,1.8,5.7,7.7,2.0,0.0
2848,Doronicum grandiflorum,8.0,2.5,4.3,8.0,2.0,0.0
2849,Doronicum hungaricum,7.0,8.0,4.0,7.0,3.0,0.0
2850,Doronicum orientale,6.0,x,5.5,7.0,5.0,0.0
2851,Doronicum pardalianches,4.4,x,5.2,6.6,6.2,0.0
2852,Doronicum plantagineum,6.3,x,6.0,6.7,4.7,0.0
2853,Dorycnium hirsutum,7.3,9.0,2.3,7.3,3.3,0.0
2854,Dorycnium pentaphyllum,7.6,x,x,8.2,2.8,0.0
2855,Dorycnium rectum,7.0,9.0,7.0,7.3,3.0,0.0
2856,Dorycnopsis gerardi,8.5,7.0,3.0,8.5,3.0,0.0
2857,Draba aizoides aggr.,8.3,2.9,3.3,8.2,1.4,0.0
2858,Draba alpina,NA,NA,6.0,NA,NA,NA
2859,Draba aspera,9.0,2.0,3.0,7.0,1.0,0.0
2860,Draba cretica,9.0,7.0,3.0,8.0,5.0,0.0
2861,Draba cuspidata,8.0,4.8,3.0,NA,NA,NA
2862,Draba daurica,NA,NA,6.0,NA,NA,NA
2863,Draba dedeana,9.0,3.0,2.0,7.0,1.0,NA
2864,Draba dolomitica,8.0,1.5,3.0,7.0,1.0,0.0
2865,Draba dubia,8.3,1.5,2.7,7.0,1.7,0.0
2866,Draba fladnizensis,9.0,1.3,4.0,6.0,1.5,0.0
2867,Draba heterocoma,8.0,9.0,3.0,7.0,5.0,0.0
2868,Draba hispanica,9.0,3.0,1.0,7.0,1.0,NA
2869,Draba hoppeana,8.5,1.0,4.5,7.0,1.5,0.0
2870,Draba incana,7.5,2.5,4.0,6.0,1.5,0.0
2871,Draba lacaitae,8.4,7.0,3.6,7.0,3.6,0.0
2872,Draba lactea,NA,NA,4.0,NA,NA,NA
2873,Draba ladina,8.5,1.3,3.0,9.0,1.5,0.0
2874,Draba lasiocarpa,8.0,8.0,1.0,9.0,1.0,0.0
2875,Draba nemorosa,8.0,x,4.3,7.3,2.7,0.0
2876,Draba norvegica,8.0,1.0,5.0,7.0,3.0,0.0
2877,Draba nuda,8.0,7.0,6.0,6.0,5.0,0.0
2878,Draba pacheri,NA,1.0,NA,NA,NA,NA
2879,Draba podolica,8.0,4.3,3.8,NA,NA,NA
2880,Draba sauteri,7.0,2.0,5.0,9.0,2.0,0.0
2881,Draba scardica,8.8,5.7,2.9,7.6,1.6,0.0
2882,Draba sibirica,8.0,3.5,4.8,NA,NA,NA
2883,Draba siliquosa,8.3,1.7,4.6,6.3,1.7,0.0
2884,Draba stellata,8.0,1.5,4.0,9.0,2.0,0.0
2885,Draba subcapitata,NA,NA,5.5,NA,NA,NA
2886,Draba tomentosa,9.0,1.0,2.0,8.0,1.5,0.0
2887,Draba verna aggr.,8.1,x,3.1,6.6,x,0.0
2888,Drabella muralis,7.1,x,3.9,7.4,4.8,0.0
2889,Dracocephalum austriacum,8.3,5.5,2.9,8.7,1.3,0.0
2890,Dracocephalum ruyschiana,6.9,3.8,4.2,7.3,1.8,0.0
2891,Dracocephalum thymiflorum,8.0,4.8,4.8,NA,NA,NA
2892,Dracunculus vulgaris,6.0,9.0,4.3,7.7,7.7,0.0
2893,Drimia fugax,9.0,9.5,3.5,5.5,2.5,0.0
2894,Drimia maritima aggr.,8.3,9.7,3.0,7.0,2.5,0.7
2895,Drimia numidica,9.0,10.0,1.0,4.0,2.0,0.0
2896,Drimia pancration,9.0,10.0,1.0,4.0,2.0,NA
2897,Drimia undata,9.0,9.5,4.0,6.5,2.5,0.0
2898,Drosera intermedia,8.3,5.1,9.1,1.8,1.5,0.0
2899,Drosera longifolia,8.3,4.5,9.3,2.9,1.6,0.0
2900,Drosera rotundifolia,8.1,4.6,9.1,1.9,1.1,0.0
2901,Dryas octopetala,8.2,2.2,4.5,8.0,3.0,0.0
2902,Drymocallis corsica,8.0,4.0,4.0,4.0,3.0,0.0
2903,Drymocallis geoides,8.0,4.3,5.3,NA,NA,NA
2904,Drymocallis jailae,8.5,5.3,5.0,NA,NA,NA
2905,Drymocallis rupestris,7.3,x,3.2,6.2,1.7,0.0
2906,Drymochloa drymeja,3.6,5.5,5.6,5.7,5.3,0.0
2907,Drymochloa lasto,NA,NA,5.0,NA,NA,NA
2908,Drymochloa sylvatica,3.6,x,5.6,x,5.6,0.0
2909,Dryopteris aemula,x,x,x,2.3,3.0,0.0
2910,Dryopteris affinis aggr.,x,x,x,4.6,4.8,0.0
2911,Dryopteris cambrensis,3.0,4.0,5.5,4.5,4.5,0.0
2912,Dryopteris carthusiana aggr.,x,x,x,3.6,x,0.0
2913,Dryopteris corleyi,9.0,8.0,7.0,1.0,1.0,NA
2914,Dryopteris cristata,4.9,4.9,8.6,4.6,4.4,0.0
2915,Dryopteris filix-mas,x,x,x,5.3,5.6,0.0
2916,Dryopteris filix-mas aggr.,3.0,5.0,5.0,5.0,6.0,0.0
2917,Dryopteris mindshelkensis,8.0,4.0,5.0,9.0,3.0,0.0
2918,Dryopteris oreades,x,4.0,4.7,2.3,2.3,0.0
2919,Dryopteris pallida,4.0,8.0,6.0,8.0,4.0,0.0
2920,Dryopteris remota,3.0,4.4,6.0,4.5,4.8,0.0
2921,Dryopteris tyrrhena,4.0,4.5,5.0,3.0,4.0,0.0
2922,Dryopteris villarii,9.0,2.3,5.0,9.0,3.0,0.0
2923,Drypis jacquiniana,9.0,7.0,2.0,8.0,1.0,0.0
2924,Drypis spinosa,9.0,6.0,2.0,8.0,1.0,0.0
2925,Dupontia fisheri,NA,NA,8.0,NA,NA,NA
2926,Dupontia pelligera,NA,NA,8.0,NA,NA,NA
2927,Dysphania ambrosioides,8.0,x,5.8,6.5,6.0,0.0
2928,Dysphania botrys,8.3,x,x,6.6,x,0.2
2929,Ebenus cretica,7.0,11.0,3.0,6.0,5.0,0.0
2930,Ebenus sibthorpii,7.0,11.0,3.0,8.0,5.0,0.0
2931,Ecballium elaterium,7.7,8.8,4.6,7.6,7.3,0.3
2932,Echinaria capitata,8.5,10.0,3.0,7.5,4.0,0.0
2933,Echinochloa colonum,7.0,8.8,5.7,7.3,8.0,0.0
2934,Echinochloa crus-galli,7.1,x,x,7.3,7.7,0.3
2935,Echinochloa esculenta,NA,9.0,NA,NA,NA,NA
2936,Echinochloa oryzoides,8.3,8.3,x,7.0,7.3,0.0
2937,Echinocystis lobata,6.6,x,7.9,7.2,7.4,0.0
2938,Echinophora spinosa,9.0,8.0,4.0,7.0,5.0,4.5
2939,Echinophora tenuifolia,8.5,x,4.2,8.0,4.0,1.0
2940,Echinops armatus,7.5,5.8,5.8,NA,NA,NA
2941,Echinops bannaticus,NA,8.0,NA,NA,NA,NA
2942,Echinops exaltatus,7.5,6.7,3.5,8.0,7.0,0.0
2943,Echinops ritro,8.7,x,2.9,7.5,x,0.0
2944,Echinops sphaerocephalus,7.7,6.5,3.8,7.2,6.4,0.2
2945,Echinops spinosissimus,8.5,10.5,3.0,7.0,6.5,0.0
2946,Echinospartum horridum,9.0,8.0,2.0,8.0,4.0,0.0
2947,Echinospartum lusitanicum,8.9,4.9,3.3,2.8,1.0,NA
2948,Echium angustifolium,8.0,11.0,2.0,8.0,7.0,2.0
2949,Echium arenarium,9.0,10.5,2.5,6.5,7.0,0.5
2950,Echium asperrimum,8.5,8.0,2.0,6.0,6.5,0.0
2951,Echium creticum,9.0,9.0,2.0,8.0,6.5,0.0
2952,Echium humile,8.2,10.3,3.3,7.8,5.1,1.6
2953,Echium italicum,8.4,x,4.2,7.3,x,0.0
2954,Echium parviflorum,8.5,10.5,2.5,8.0,6.5,0.0
2955,Echium plantagineum,8.6,8.8,3.2,6.4,6.8,0.0
2956,Echium rosulatum,9.0,6.0,2.0,5.0,4.0,NA
2957,Echium sabulicola,8.5,9.0,2.5,5.5,5.5,0.0
2958,Echium vulgare,8.5,x,3.5,6.3,4.1,0.2
2959,Edraianthus graminifolius,9.0,3.0,3.0,7.0,2.0,0.0
2960,Edraianthus tenuifolius,8.3,7.1,2.7,7.4,2.0,0.0
2961,Elaeagnus angustifolia,8.1,6.6,4.6,5.7,4.7,0.3
2962,Elaeoselinum asclepium,x,9.5,3.5,7.0,2.0,0.0
2963,Elaeoselinum meoides,9.0,8.0,4.0,4.0,3.0,0.0
2964,Elatine alsinastrum,7.7,x,9.1,5.3,5.0,0.3
2965,Elatine ambigua,7.0,6.1,9.1,5.0,5.0,0.0
2966,Elatine brochonii,8.0,6.0,8.0,4.0,3.0,0.0
2967,Elatine hexandra,7.6,6.0,9.0,4.2,3.8,0.0
2968,Elatine hungarica,7.5,6.3,9.8,5.0,4.0,0.0
2969,Elatine hydropiper,7.6,6.2,9.0,x,4.5,0.2
2970,Elatine hydropiper aggr.,8.0,7.0,9.0,4.0,5.0,1.0
2971,Elatine macropoda,7.5,6.5,8.5,4.5,4.0,0.0
2972,Elatine orthosperma,8.0,6.0,9.0,4.0,4.0,1.0
2973,Elatine triandra,8.0,6.3,9.0,4.4,4.6,0.0
2974,Eleocharis acicularis,7.6,5.6,10.1,x,2.6,0.1
2975,Eleocharis caduca,8.0,x,10.0,7.5,6.5,0.0
2976,Eleocharis carniolica,7.5,7.3,9.0,6.0,2.5,0.0
2977,Eleocharis mamillata,8.0,5.2,9.9,4.4,3.8,0.2
2978,Eleocharis multicaulis,8.1,x,9.8,x,2.0,0.7
2979,Eleocharis ovata,8.1,x,8.4,6.0,5.0,0.2
2980,Eleocharis palustris,8.2,5.3,9.9,5.7,x,0.7
2981,Eleocharis palustris aggr.,8.0,5.5,10.0,6.0,6.0,1.0
2982,Eleocharis parvula,7.2,5.1,9.6,6.5,4.5,4.0
2983,Eleocharis quinqueflora,x,5.0,9.2,6.8,2.0,1.1
2984,Eleocharis uniglumis,7.7,x,9.1,7.0,4.9,2.9
2985,Eleusine indica,8.5,9.0,4.8,6.5,6.5,0.0
2986,Elodea canadensis,6.7,6.0,11.9,7.0,7.0,0.2
2987,Elodea nuttallii,6.8,6.2,12.0,6.7,7.0,0.2
2988,Elymus caninus,x,5.1,6.3,7.1,7.1,0.0
2989,Elymus hispanicus,5.0,5.0,7.0,7.0,7.0,0.0
2990,Elymus panormitanus,6.0,8.7,5.0,6.0,2.0,0.0
2991,Elymus uralensis,8.5,5.3,4.8,NA,NA,NA
2992,Elytrigia atherica,9.0,7.3,5.3,7.0,6.0,6.0
2993,Elytrigia bessarabica,8.5,x,x,8.0,5.0,3.0
2994,Elytrigia caespitosa,7.5,6.3,4.5,NA,NA,NA
2995,Elytrigia campestris,9.0,6.8,2.8,6.7,x,NA
2996,Elytrigia elongata,8.0,x,7.0,7.5,7.0,8.0
2997,Elytrigia intermedia,7.5,x,2.9,7.3,3.3,0.0
2998,Elytrigia juncea,8.8,x,x,7.2,6.3,5.4
2999,Elytrigia obtusiflora,8.0,7.0,3.0,7.0,5.0,0.0
3000,Elytrigia repens aggr.,7.4,5.4,5.0,6.2,7.0,1.0
3001,Elytrigia sartorii,9.0,11.0,NA,8.0,6.0,5.0
3002,Elytrigia scirpea,8.5,9.5,6.5,8.0,5.5,3.0
3003,Elytrigia stipifolia,8.0,5.5,4.8,NA,NA,NA
3004,Elytrigia strigosa,8.0,5.0,4.8,NA,NA,NA
3005,Emex spinosa,8.3,10.3,3.0,5.7,7.0,0.7
3006,Empetrum nigrum aggr.,7.6,3.2,x,2.6,2.2,0.0
3007,Enarthrocarpus arcuatus,7.0,11.0,5.0,8.0,7.0,2.0
3008,Endressia castellana,9.0,5.0,4.0,6.0,1.0,NA
3009,Endressia pyrenaica,8.0,1.0,4.0,1.0,1.0,0.0
3010,Ephedra distachya,8.8,x,2.4,9.0,1.5,0.0
3011,Ephedra foeminea,7.0,11.0,2.0,8.0,7.0,2.0
3012,Ephedra fragilis,9.0,8.0,3.0,NA,2.0,0.0
3013,Ephedra major,9.0,7.5,3.0,NA,2.0,0.0
3014,Epilobium alpestre,7.0,3.2,6.0,6.3,7.5,0.0
3015,Epilobium alsinifolium,7.7,2.5,9.0,5.0,3.5,0.0
